word,n,sentiment,new_df_select_category1
說,3044,negative,zg
會,1759,positive,v
會,1759,positive,v
好,1640,positive,a
對,1219,positive,p
朋友,1187,positive,n
到,1077,positive,v
和,817,positive,c
著,723,positive,n
不是,651,negative,c
希望,626,positive,v
事情,557,negative,n
不會,546,negative,v
其實,530,positive,d
上,516,positive,f
喜歡,506,positive,v
難過,463,negative,v
能,445,positive,v
可能,411,positive,v
很多,396,positive,m
愛,389,positive,zg
問題,379,negative,n
無法,354,negative,n
努力,333,positive,ad
中,329,positive,f
發現,319,positive,v
好好,313,positive,d
需要,291,positive,v
謝謝,281,positive,nr
總是,268,negative,c
開心,256,positive,v
突然,255,negative,ad
用,251,positive,p
吵架,245,negative,v
願意,241,positive,v
一定,236,positive,d
分開,230,negative,v
離開,226,negative,v
東西,222,negative,ns
過,222,positive,ug
完全,219,positive,ad
相信,218,positive,v
當,210,positive,t
接受,196,positive,v
快,192,positive,a
痛苦,190,negative,an
匿名,186,negative,v
不到,184,negative,v
快樂,180,positive,a
不好,178,negative,d
約,178,positive,d
適合,178,positive,v
聯絡,178,negative,n
新,174,positive,a
機會,161,positive,n
愛情,150,positive,n
壓力,147,negative,n
主動,141,positive,b
幸福,135,positive,a
根本,135,positive,a
生氣,134,negative,n
復,134,negative,v
封鎖,129,negative,nr
對不起,129,positive,l
對不起,129,negative,l
痛,126,negative,a
當然,123,positive,d
不同,122,positive,a
答應,121,positive,v
準備,119,positive,v
玩,118,negative,v
不夠,117,negative,v
真正,117,positive,d
明明,116,positive,t
剛,115,positive,d
不斷,114,negative,d
習慣,114,positive,n
習慣,114,negative,n
怕,110,negative,v
幫忙,110,positive,v
怎樣,108,negative,r
重要,105,positive,a
傷害,105,negative,a
關心,105,positive,n
放棄,101,negative,v
清楚,101,positive,a
擔心,100,negative,v
刪除,99,negative,v
講,99,positive,zg
貼心,96,positive,v
出現,95,positive,v
似乎,94,negative,d
祝福,93,positive,nr
錯,93,negative,v
不管,92,negative,c
美好,91,positive,a
害怕,91,negative,v
說好,91,positive,v
沒想到,90,negative,l
忘記,89,negative,v
眼淚,89,negative,n
討厭,88,negative,v
後悔,86,negative,v
後悔,86,negative,v
失戀,85,negative,v
思考,85,positive,v
陪伴,85,positive,n
罵,85,negative,v
期待,84,positive,v
崩潰,82,negative,v
感謝,82,positive,v
珍惜,79,positive,a
得到,78,positive,v
道歉,78,negative,v
認真,78,positive,ad
才能,77,positive,v
冷靜,77,positive,a
冷靜,77,negative,a
依然,76,positive,d
承認,76,positive,v
爭吵,76,negative,v
失去,73,negative,v
穩定,72,positive,a
求助,70,negative,v
承諾,69,positive,v
特別,69,positive,d
永遠,68,positive,d
實在,68,positive,v
抒發,67,positive,v
拒絕,67,negative,v
曖昧,67,negative,a
正常,66,positive,d
抱歉,66,negative,v
剛好,66,positive,d
好多,64,positive,m
長,64,positive,zg
最好,64,positive,a
傷心,64,negative,n
解決,64,positive,v
竟然,63,negative,d
興趣,63,positive,n
甜蜜,62,positive,a
真心,61,positive,d
冷淡,60,negative,a
要求,60,negative,v
原諒,60,positive,nr
原諒,60,negative,nr
安慰,59,positive,v
安慰,59,negative,v
恨,59,negative,v
消失,59,negative,n
簡單,59,positive,a
簡單,59,negative,a
平常,58,negative,a
打算,58,negative,v
回頭,58,negative,v
自私,58,negative,a
值得,58,positive,v
在意,57,positive,v
抱怨,57,negative,v
沒關係,56,negative,l
差,56,negative,a
單純,56,positive,a
沒事,55,negative,v
受不了,55,negative,l
和平,55,positive,nz
放手,55,positive,v
剛剛,55,positive,d
可惜,54,negative,v
死,54,negative,v
明白,54,positive,nr
堅持,54,positive,v
堅持,54,negative,v
尊重,54,positive,a
不了,53,negative,v
自由,53,positive,a
小心,52,positive,n
小心,52,negative,n
考慮,52,positive,v
難,52,negative,zg
祝,51,positive,v
理性,51,positive,n
禮物,51,positive,n
戀愛,51,positive,v
經驗,50,positive,n
信任,49,positive,n
追求,49,positive,v
大哭,48,negative,v
不錯,48,positive,a
