"id","title","all_content"
1,"最近分手了","最近 分手 了 幾天 前 和 交往 快 四年 的 男友 分手 了 從 學生 時代 到 現在 剛出 社會 我 以 為 可以 走向 未來 但 對方 想要 自由 就 如同 一如既往 對 他 的 愛 一樣 我愛他 所以 我 選擇 放手 不願 成為 束縛 他 的 自私 的 人 但 我 真的 很 痛苦 朋友 要 我 開始 想 做 什麼 事會 開心 但 我 只 想到 過去 只要 讓 他 開心 我 就 快樂 了 完全 遺忘 自己 的 存在 麻煩 版友 把 我 噓 醒 讓 我 知道 我 沒有 他 也 可以 很 好 謝謝"
2,"分手快樂","分手 快樂 和 交往 兩年 半 的 女友 分手 心情 沒有 多大 的 起伏 或許 是 過往 的 美好 已 淡去 又 或許 是 心累 的 只 想 趕快 過去 但 她 仍然 是 我 最愛 的 曾經 往後 許久 可能 會 在 某夜 想起 那 之前 的 一點一滴 但 我們 都 要 放下 過去 繼續 往下 一步 邁進 祝福 妳 找到 更好 的 婕 答應 我 好好 照顧 自己 妳 我 不配 致 我 親愛 的 前女友 西元 2019 12 12 11 29 pm 於 中華民國 臨時 首都 台北 願 吾人 能 化作 流星 在 浩瀚 銀河 中 旅行"
3,"交往很久之後但分手該怎麼調適心情?","交往 很久 之後 但 分手 該 怎麼 調適 心情 半夜 睡 不 著覺 第一次 在 這個 板 發文 跟 初戀 交往 好久 了 現在 兩個 人 都 即將 30 歲 79 80 年次 分手 的 原因 就 不 討論 了 分開 之後 就 好像 把 這 四五年 的 回憶 抽離 從 研究所 當兵 找 工作 很多很多 的 回憶 想問 大家 會 如何 調適 自己 的 心情 呢 想著 想 著 就 淚 崩 了 好 傷心"
4,"分手了，該振作了","分手 了 該 振作 了 現在 正在 溫哥華 回台灣 的 飛機 上 回想 過去 一年 半 的 回憶 還是 忍不住 哭 了 一年 半前 我 25 你 26 請 多 指教 是 我們 520 那天 在 一起 對 彼此 說 的話 前 大半年 好開心 等 你 下課 你 等 我 下 班 走過 無數 大大小小 的 景點 後來 將近 一年 的 遠距離 中間 妳 回大陸 兩次 我 都 飛過去 陪 你 也 飛 了 一趟 溫哥華 每 一次 的 見面 都 讓 我 非常 珍惜 分手 前 最後 一次 見面 是 一個月 前 你 回來 參加 妳 最好 姐妹 的 婚禮 看著 妳 的 笑容 更 堅定 要 與 妳 走 下去 的 心 但 因為 一次 吵架 以及 自己 的 賭氣 讓 我們 一直 以來 的 問題 徹底 爆發 也 讓 你 對 我 很 失望 我 自己 始終 沒有 辦法 原諒 自己 當下 因為 賭氣 而 冷落 了 因為 家裡 遭 小偷 而 害怕 的 你 這 一次 讓 你 不再 心軟 20 天前 你 提 了 分手 每天 無法 安穩 入眠 也 沒有 辦法 接受 我們 已經 分開 的 事實 決定 請假 飛 一趟 溫哥華 想 跟 你 當面 說 清楚 準備 了 33 朵玫瑰 三本 手工 相冊 卡片 在 你 畢業 前一天 飛過去 出現 在 你 家門口 希望 能 將你 挽回 走 下樓 的 你 很 冷靜 溝通 之後 你 卻 依然 說出 你 的 決定 不會 改變 你 累 了 不 想 一起 努力 了 便 送 我 離開 到 了 朋友家 後 忍不住 大哭 了 一場 好像 也 宣洩 了 不少 壓力 也 覺得 自己 好 了 很多 這 幾天 也 在 溫哥華 走走 回味 一下 過去 的 時光 希望 能將 這份 美好 收起 可能 是 今天 真的 要 離開 了 到 機場 前 發現自己 心情 越來越 沈重 甚至 妄想 著 妳 會來 找 我 但 現實 也 只是 你 傳 了 訊息 說 希望 你 之後 一切 都 好 即便 答應 過你 不再 挽回 你 還是 忍不住 打給 你 想要 挽回 反而 讓 你 覺得 很煩 甚至 說 了 我 們 可以 談戀愛 但 覺得 沒有 辦法 走 下去 聽到 真的 很 難過 現在 在 飛機 上 淚 已經 流乾 了 原本 以為 這 幾天 已經 調適 好 了 但 從 踏上 飛機 的 那 一刻起 這個 分開 的 痛 真的 好 強烈 也 知道 我 真的 失去 一個 很愛很愛的 人 你 總是 說 我 教 你 這麼 多 會 不會 到時候 又 是 別人 享受 我 總是 說 不會 的 只有 你 可以 獨享 我 想 全部 給你 但 你 不要 了 我會 記住 曾經 的 快樂 我 也 永遠 不會 忘記 分開 的 痛 這些 會 是 我 的 養分 讓 我 變得 更好 謝謝 你 的 指教 也 希望 妳 能 好好 的 繼續 加油 這 一次 飛過來 我 真的 努力 過了 沒有 留 遺憾 現在 決定 把 時間 填滿 好好 的 充實 自己 讓 自己 忙 一點 每天 除了 工作 還要 健身 運動 學 英文 希望 之後 再 想起 時 已經 不會 那麼 痛 我會 好好 加油 的 雖然 朋友 們 都 還說 說不定 以後 還有 機會 但 我 知道 目前 是 絕對 不 可能 了 也 想問 大家 現在 要 如何 才能 做到 放棄 挽回 這條 心 真的 好 想 挽回 QQ 手機 排版 請見 諒"
5,"劇烈疼痛的和平分手","劇烈 疼痛 的 和平 分手 吶吶 事情 要 從 哪裡 開始 講呢 雖然 已經 分手 好 一陣子 了 但是 總是 會 時不時 地 產生 劇烈 疼痛感 分不清 是 什麼 感受 造成 的 交往 五年 孤身一人 來 陌生 的 城市 陪伴 在 這塊 土地 並 沒有 熟識 朋友 除了 工作 以外 的 時間 都 與 另一半 緊密 連結 朝夕相處 交往 過程 中 的 紛紛擾擾 性格 上 的 摩擦 因為 熟悉 或 相愛 總是 反覆 分分合合 兩邊 努力 著 解決 感情 中 的 各種 障礙 跨過 了 各種 難關 最終 解決不了 問題 居然 僅僅只是 吵架 了 願意 低頭 互相 哄 妳 知道 問題 我 知道 問題 但是 我 做 不到 在 最後 的 爭執 下 分手 為 了 完成 這次 分手 我們 完全 不 連繫 我們 都 知道 誰 只要 低了頭 開 了 口 我們 又 可以 回到 相愛 但是 不 知道 何時 會 再 分手 的 情況 妳 情緒 崩潰 我 也 無力 處理 愛的 笨拙 憤怒 的 理智 阻斷 了 情感 的 動作 愛到深處 是 願意 放手 不論 妳 我 願不願意 終究 在 搬離 這個 城市 的 前夕 我們 聊起 了 過往 聊起 了 這段 時間 的 相愛 相殺 各種 以愛的 互相 持續 的 折磨 我們 都 認同 我們 是 相愛 的 但是 我們 的 相處 沒有 方法 長久 再 這樣 下去 我們 連 和平 的 互相 道別 都 無法 愛到 無法挽回 是 最大 的 諷刺 沒有 第三者 沒有 外 在 因素 沒有 感情 不好 只是 愛到 怕 了 在 恐懼 著 每次 複合 都 是 等待 下 一次 的 炸裂 分開 了 與 對方 的 關心 都 還在 各種 支持 也 是 持續 我們 是 長期 的 隊友 只是 枕邊 不再 的 溫存 外出 工作 的 關心 回落 家門 的 燈光 都 不再 了 相愛 的 和平 分手 不是 椎心 刺骨 的 劇痛 而是 鈍刀 緩緩的 擠壓 你 的 血肉 我們 會 好 的 會過 得 更好 要 互相 祝福 這才 不 枉費 我們 這麼 疼痛 的 分手 我們 很 努力 了 終究 還是 敗 在 這關 從 開始 到 結束 始終 問題 版上 諸多 的 和平 分手 的 定義 感覺得到 驗證 chiu1993 和平 分手 的 定義 我 覺得 是 要 建立 在 雙方 都 努力 想 解決問題 但 當下 無法 解決 的 情況 才 算數 lunanightcat 雙方 都 認同 結束 關係 對 彼此 比較 好 也 沒有 任何 怨懟 NomeL 沒有 人為 感到 怨恨 到 現在 我們 還是 互相 為 對方 著想 怕 對方 過得 不好 都 要 離開 了 盡 可能 把 對方 需要 的 東西 仔細 叮嚀 情人 家人 都 不足以 定義 伴侶 才 是 和平 分手 真的 很難 達到 相愛 還要 分手 更是 難上加難 這種 窒息 感 無法 言語 表達 不想 不會 痛 一想 就 感到 窒息 嘖嘖 分手 還在 討論 希望 雙方 能 遇到 對 的 人 還在 調侃 過往 的 言論 看著 對方 不好 了 自己 也 就 放心 了 沒想到 我們 自己 走到 最後 居然 做 不 出來 這種 事情 落落 長 的 內容 不敢 也 不 願意 給 身旁 任何 的 人 知道 放 在 自己 的 筆記本 又 無法 自我 療 癒 希望 有情人終成眷屬"
6,"分手了...","分手 了 分手 後 沒 感覺 到 什麼 難過 我 絕得 我們 滿配 的 她 長 得 像 知恩 我長 得 像 孔劉 不是 鼻孔 流血 當時 我 在 誠品 搭訕 她 我 哈 嘍 美女 妳 什麼 生肖 她 痾 馬 本來 要 我 說 屬於 妳 的梗 網路 上學 的 緊張 說錯 還好 我 臨危 不亂 的說 正好 我 在 騎驢找馬 我屬 鼠 也 是 怪 屬叔 我們 再 一起 就 變 麻 糬 黏在 一起 了 之後 我們 就 交換 Gmail 了 前面 我 怎麼 寄信 她 好像 很少 看 信箱 都 沒 回應 大概 寄 了 七八十 封 我 還查 她 臉 書用 訊息 之後 好不容易 約 到 我們 也 出來 吃飯 她 說 想 跟 我 試試看 如果 不 適合 她 不 希望 浪費 我 時間 我 就 欲擒故縱 過 兩個 小時 後 才 回 覆 她 之後 我們 就 在 一起 了 相處 上 沒什麼 問題 她 是 個 幼教 老師 對 小孩 很 有 耐心 也 喜歡 小 孩 我 很 討厭 她 說 以後 她 想要 一個 男的 如果 有 也 是 女 的 ok 一直 建構 未來 的 藍圖 我 屬於 既來之 則安之 的 個性 都還沒 遇到 幹嘛 煩惱 之後 還有 一堆 生活 瑣事 但 我 想 因 該是 我們 的 緣分 已經 到 了 吧 感覺 分手 也 沒有 什麼 難過 的 感覺 欸"
7,"分手後的一切不甘心","分手 後 的 一切 不 甘心 不 知道 大家 最近 都 好 嗎 小弟 去年 和 交往 了 三年 的 女友 分手 勉強 算得 上 和平 分手 剛 分手時 還 約定 要 當好 朋友 初期 也 都 有 互相 聯絡 感情 也 不算 差 但 不 曉得 為何 時間 越過 越久 對方 突然 開始 很 討厭 自己 開始 想起 分手 前 關於 自己 的 糟糕 回憶 有點 像是 翻舊帳 結果 越想 越 不對勁 共同 朋友 都 說 對方 開始 認為 能夠 跟 自己 分手 真是 幸運 然後 都 是 對 自己 講些 不好 聽 的話 小弟 就 感到 很 難過 不 曉得 為 啥 結局 是 這樣 發展 當初 還能 談笑風生 甚至 對方 需要 我 幫忙 的 時候 例如 要 很早 出門 需要 人載 也 都 很 盡力 因為 還是 把 對方 擺在 重要 的 位置 但 到 最後 卻 有種 被 拋棄 的 感覺 甚至 自己 家裡 遭逢 巨 變壓 力 很大 時還 被 對方 落井下石 整個 過程 是 莫名其妙 如今 換來 的 是 滿滿的 不 甘心 與 憤怒 不 曉得 有 經驗 的 大家 可以 和 我 分享 你們 怎麼 解決 分開 到 最後 那種 非常 不 甘心 的 感覺 呢"
8,"分手了","分手 了 我們 在 昨天 分手 了 我們 長達 2 年 的 感情 因為 我觸 碰 你 的 爆發 點 讓 你 決定 離開 我 我 知道 這是 我 自己 的 問題 我 還是 捨不得你 我 很 愛 你 我 一直 以為 我們 能 這樣 走 30.40 年 走到 你 推著 我 的 輪椅 去 曬太陽 但是 最終 我們 還是 分手 了 我 努力 的 挽回 你 但是 妳 堅決 的 說 我們 真的 分手 了 到 最後 我 只能 尊重 你 的 決定 謝謝 你 這 兩年 對 我 的 照顧 包容 那些 美好 的 回憶 我會 好好 藏著 我會 讓 自己 成長 更好 的 人 我 知道 你 的 未來 裡 不會 在 有 我 了 但是 我 還是 希望 你 能 幸福"
9,"分手了","分手 了 今早 跟 交往 一年 多 的 女友 分手 了 其實 分手 是 我 提 的 說完 之後 感覺 蠻 落寞 後悔 的 這是 我 第一個 女朋友 心情 真的 蠻差 的 會 分手 的 原因 大概 如下 1. 雙方 距離 說遠 不遠 開車 四五十 分鐘 可以 到 但是 大概 就 一個 禮拜 見 一次 面 我 自己 感覺 有點 少 2. 雙方 有些 觀念 不太 一樣 譬如 結婚 金錢觀 等等 3. 因為 女方 是 原住民 家人 可能 有些 意見 不過 都還沒 見過面 其實 這陣子 相處 就 都 有些 摩擦 了 我 覺得 我 是 很 差勁 的 男友 討論 事情 很常 潑冷水 我 自己 個性 蠻 衝動 的 所以 常常 講 一些 不好 聽 的話 我 覺得 她 個性 大部分 都 不錯 可是 受限 上面 三點 常常 覺得 不 知道 該 如何 往下走 早上 提完 分手 後 我 心情 超級 差 的 該 如何 調適 呢"
10,"提分手的人，還是會痛，得證","提 分手 的 人 還是 會痛 得證 有人 說 會痛 是 因為 已經 無法 忍耐 所以 痛著 說 分手 是啊 是 的 剛在 一起 時 你 不願合 我 合照 後來 有 其他人 追求 我時 你 也 依然故我 當我 戒指 不見 的 時候 你 說 再 買 就 好 是啊 戒指 就是 要 自己 買 不然 就是 跟 你 要 了 承諾 我 真的 很 想 你 想 你 那 每分 每秒 呵護 我 的 時光 我 很 想 你 這 8 年來 我們 風風雨雨 可是 我 知道 你 不是 和 我 一起 一輩子 的 那個 人 你 也 知道 我 說 分手 的 時候 你 花 了 一 小時 才 回覆 我 我 很 感激 我還 值得 你 冷靜 一 小時 啊 謝謝 我 知道 我 知道 你 愛過 我 可是 我 知道 你 沒 那麼 愛我 而且 我 知道 和 你 一輩子 的 人 不是 我 再見 我 的 過去 我 知道 你 也 不 捨 但是 因為 你 的 驕傲 你 的 不 捨 我 永遠 不會 感受 到 但是 謝謝 你 的 照顧 我要 勇敢 往前走 了 我會 一直 勇敢 等 我 撐過 這段 心 空空 的 日子 開著車 我 想 的 是 你 我 多 想 可以 一起 走 下去"
